Title, Link, Date 
Prita Aunalal, Asisten Nia Ramadhani yang Celananya Bikin Salfok , https://hot.detik.com/celeb/d-5171717/prita-aunalal-asisten-nia-ramadhani-yang-celananya-bikin-salfok?tag_from=wp_beritautama,  
Melihat Tempelengan Neymar ke Alvaro yang Berujung Kartu Merah , https://sport.detik.com/sepakbola/bola-dunia/d-5171781/melihat-tempelengan-neymar-ke-alvaro-yang-berujung-kartu-merah?tag_from=wp_beritautama,  
Ancelotti soal Debut James: Kalau Mau Kecepatan, Mending Beli Usain Bolt , https://sport.detik.com/sepakbola/liga-inggris/d-5171772/ancelotti-soal-debut-james-kalau-mau-kecepatan-mending-beli-usain-bolt?tag_from=wp_beritautama,  
Tottenham Hotspur Vs Everton: The Toffees Menang 1-0 , https://sport.detik.com/sepakbola/liga-inggris/d-5171760/tottenham-hotspur-vs-everton-the-toffees-menang-1-0?tag_from=wp_beritautama,  
8 Aturan PSBB Ketat yang Berlaku di Jakarta Mulai Hari Ini , https://news.detik.com/berita/d-5171788/8-aturan-psbb-ketat-yang-berlaku-di-jakarta-mulai-hari-ini?tag_from=wp_beritautama,  
Sate Terakhir Bung Karno dan Survei Jokowi, Kesaksian Sidarto, #,  
Baru Nih, Kayaking di Museum Louvre Abu Dhabi, #,  
Video PDIP Kritik PSBB DKI: Progres Belum Tampak, Tau-tau 'Ngerem', #,  
PDIP Kritik PSBB DKI: Progres Belum Tampak, Tau-tau 'Ngerem', https://20.detik.com/detikflash/20200914-200914004/pdip-kritik-psbb-dki-progres-belum-tampak-tau-tau-ngerem?tag_from=wp_belt_videoTerpopuler, 2 jam yang lalu 
Syekh Ali Jaber Ditusuk saat Berdakwah di Lampung, https://20.detik.com/detikflash/20200913-200913068/syekh-ali-jaber-ditusuk-saat-berdakwah-di-lampung?tag_from=wp_belt_videoTerpopuler, 12 jam yang lalu 
Blak-blakan Antara Jokowi dan Sukarno, Sebentar Lagi, https://20.detik.com/promo-/20200914-200914006/blak-blakan-antara-jokowi-dan-sukarno-sebentar-lagi?tag_from=wp_belt_videoTerpopuler, 1 jam yang lalu 
Keren, Bapak Tua dari Pondok Gede Ini Bikin Sepeda Listrik Sendiri, #,  
7 Fakta Syekh Ali Jaber Ditusuk Orang Tak Dikenal di Lampung, #,  
Nvidia Caplok Perusahaan Chip Inggris Rp 592 T, #,  
Neymar Alami Pelecehan Rasial di Laga Panas PSG Vs Marseille, #,  
Tak Disarankan Sarapan Kesiangan, Ini Alasannya, #,  
Rey Mbayang Beri Dinda Hauw Motor, Komentarnya Bikin Ngakak, #,  
Keindahan Karya Finalis Kontes Foto Travel Agora Bikin Terpana, #,  
